WORD_norm	WORD	Transcription1	PerMilFreq	zipf	Length	AvePhonLength	n_syllables	H_GPC_word	H_PGC_word	H_GPC_grapheme_word	H_PGC_grapheme_word	H_GPC_onset_word	H_PGC_onset_word	H_GPC_rime_word	H_PGC_rime_word	H_GPC_OVC_word	H_PGC_OVC_word	OUF	OUB	OU	MAXOUF	MAXOUB	MINOUF	MINOUB	PUF	PUB	PU	MAXPUF	MAXPUB	MINPUF	MINPUB	OU_PU_Mismatch	OUF_PUF_Mismatch	OUB_PUB_Mismatch	SN_k25	SN_k50	Entropy_beta5	Entropy_beta10	Dispersion_k50	Hubness_k50	ClusteringCoeff_k25
جستجوگر	جستجوگر	jɔstɔjuɡar	12.691529	4.103514	7	10.0	4.0	0.0	0.0	0.272477	0.327225	0.000892	0.086309	1.466893	0.692548	1.389061	7.723873	0.020187	0.043457	0.063643	0.130041	0.283668	0.000153	0.000128	0.017229	0.040567	0.057797	0.130254	0.275621	0.000133	0.000111	0.005847	0.002957	0.00289	4.0	4.0	0.966694	0.786775	0.005361	11.0	0.25
دیلدو	دیلدو	dildɔ	1.337054	3.126149	5	5.0	2.0	0.0	0.0	0.551237	0.22518	0.001716	0.001053	0.660963	0.008072	1.691958	7.800148	0.067664	0.028489	0.096153	0.281878	0.119438	1.6e-05	1.6e-05	0.065507	0.021814	0.087321	0.278657	0.088853	1.4e-05	1.4e-05	0.008833	0.002157	0.006676							
همرام	همرام	hɑmrɑm	6.025167	3.779969	5	6.0	2.0	0.0	0.0	0.410021	0.222325	0.00288	0.358523	0.949464	0.520946	1.399599	8.188969	0.04482	0.087647	0.132467	0.14918	0.349121	9.3e-05	6.5e-05	0.041751	0.078548	0.120299	0.201815	0.38839	5.6e-05	5.6e-05	0.012168	0.00307	0.009098	25.0	50.0	0.987981	0.932787	0.002564	34.0	0.166667
پیتونه	پیتونه	pitɔnɛ	0.558578	2.747084	6	6.0	3.0	0.0	0.0	0.620336	0.395966	0.000447	0.114226	0.568262	0.670241	1.106384	7.683759	0.034313	0.094903	0.129216	0.144295	0.407647	7e-06	7e-06	0.029896	0.087452	0.117348	0.141666	0.400045	6e-06	6e-06	0.011868	0.004417	0.007451							
مجری	مجری	mɔjri	46.532457	4.667756	4	5.0	2.0	0.0	0.0	0.210426	0.20297	0.001931	0.001058	1.278535	0.24993	1.272551	7.800148	0.100027	0.121929	0.221956	0.377749	0.394856	0.000507	0.000419	0.111005	0.090565	0.20157	0.3953	0.361663	0.000439	0.000363	0.020386	-0.010978	0.031364	14.0	14.0	0.980344	0.87051	0.003682	29.0	0.123333
مریضیش	مریضیش	mariziyaʃ	5.249871	3.720149	6	9.0	4.0	0.0	0.0	0.28014	0.273579	0.001288	0.345979	1.039115	0.346533	1.274616	7.694836	0.074173	0.032962	0.107135	0.377749	0.160357	5.7e-05	5.7e-05	0.066234	0.031061	0.097295	0.3953	0.16343	4.9e-05	4.9e-05	0.00984	0.007939	0.001901							
برمیاد	برمیاد	barmiyɑd	33.813199	4.529086	6	8.0	3.0	0.0	0.0	0.317794	0.17584	0.001706	0.010592	0.893372	0.316025	1.046186	7.859547	0.076204	0.068234	0.144438	0.350873	0.290831	0.000313	0.000313	0.074305	0.056868	0.131173	0.37001	0.294503	0.000272	0.000272	0.013266	0.0019	0.011366	25.0	50.0	0.964797	0.747281	0.004639	11.0	0.203333
حضورتان	حضورتان	hɔzurɛtɑn	1.101293	3.041903	7	9.0	4.0	0.0	0.0	0.423594	0.518664	0.000785	0.602748	1.111686	0.637975	1.339883	7.600596	0.018657	0.07849	0.097148	0.114497	0.347165	1.3e-05	1.3e-05	0.026637	0.061589	0.088226	0.201815	0.355901	1.2e-05	1.2e-05	0.008922	-0.007979	0.016901	8.0	8.0	0.969174	0.838183	0.006225	16.0	0.146667
یکدونه	یکدونه	yɛkdunɛ	1.714424	3.234118	6	7.0	3.0	0.0	0.0	0.621653	0.44695	0.238879	0.010528	0.929275	0.294576	0.620771	7.164186	0.022155	0.092893	0.115048	0.078641	0.407647	2e-05	2e-05	0.024483	0.08	0.104483	0.07264	0.400045	1.8e-05	1.8e-05	0.010565	-0.002328	0.012893							
بیروت	بیروت	berut	14.396443	4.158255	5	5.0	2.0	0.0	0.0	0.547963	0.141221	0.001574	0.0	0.811031	0.368217	1.502415	6.741229	0.091844	0.064485	0.156329	0.350873	0.308994	0.000144	0.000144	0.07661	0.065364	0.141974	0.37001	0.315786	0.000125	0.000125	0.014355	0.015234	-0.000879	25.0	50.0	0.987708	0.928514	0.002621	38.0	0.273333
نخوری	نخوری	naxɔri	17.28042	4.237554	5	6.0	3.0	0.0	0.0	0.548006	0.169285	0.0006	0.001537	1.248851	0.61749	1.179899	7.853838	0.052974	0.102366	0.15534	0.244687	0.394856	0.000455	0.00017	0.063843	0.077233	0.141076	0.237072	0.361663	0.000427	0.000147	0.014264	-0.010869	0.025133	25.0	50.0	0.99056	0.960591	0.002704	80.0	0.593333
